,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,E
0,0.6383,0.031,0.1409,0.0849,0.0659,0.0279999999999999,0.0,0.0,0.0,0.0,0.0069999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,84.6
1,0.6364999999999998,0.0142999999999999,0.1626,0.0,0.0,0.0,0.0985999999999999,0.0625999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0,76.9000015258789
2,0.785,0.0,0.0,0.0,0.08,0.0,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.1
3,0.51,0.201,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.7
4,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.8000030517578
5,0.0,0.0,0.0,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,66.0
6,0.5748574857485748,0.0256025602560256,0.0466046604660466,0.0959095909590959,0.0424042404240424,0.0,0.0995099509950994,0.0575057505750575,0.0126012601260126,0.0,0.0,0.0,0.0,0.0,0.0,0.0298029802980298,0.0,0.0096009600960096,0.0042004200420042,0.0,90.3000030517578
7,0.6181,0.0138,0.1159999999999999,0.1499,0.0871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0141999999999999,0.0,0.0,0.0,0.0,0.0,0.0,94.0
8,0.4593,0.0542999999999999,0.0272,0.216,0.216,0.0,0.0,0.0272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.4000015258789
9,0.508949105089491,0.0,0.1204879512048795,0.1507849215078492,0.0,0.0,0.0,0.0,0.0,0.1796820317968203,0.0,0.0,0.0,0.0,0.0,0.0400959904009599,0.0,0.0,0.0,0.0,99.5
