,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tannealing
0,0.8250000000000001,0.1068,0.0182,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,833.15
1,0.5496,0.1099,0.1699,0.0,0.0,0.0,0.0,0.1699,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,843.15
2,0.6589,0.0613,0.1509,0.0197,0.015,0.0,0.0692,0.0242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.0,911.15
3,0.0,0.828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,682.15
4,0.8,0.0,0.1,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1136.15
5,0.518,0.0559999999999999,0.038,0.1159999999999999,0.0,0.133,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.0,0.0,0.039,0.0,0.019,0.0,0.0,957.15
6,0.0,0.7000000000000001,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,901.15
7,0.0,0.1841926322947082,0.0685972561097556,0.0,0.2125914963401464,0.218591256349746,0.0,0.0,0.0,0.0718971241150354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2291908323667053,0.0,857.1501220703125
8,0.3984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6015999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.6094116210936
9,0.7624762476247624,0.0,0.01000100010001,0.0,0.0,0.0214021402140214,0.0228022802280228,0.0793079307930793,0.079007900790079,0.0126012601260126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,752.0757202148437
10,0.74,0.0,0.0,0.0,0.1,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,826.1153930664062
11,0.658,0.047,0.1159999999999999,0.049,0.012,0.0,0.0,0.0969999999999999,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,894.15
12,0.7415,0.0,0.1046,0.0778,0.0559,0.0,0.0,0.0202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1054.15
