,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Fe2O3,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,V2O5,Tsoft
0,0.7027,0.013,0.0094,0.0405,0.0626,0.0,0.0,0.1591,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021,0.0,968.15
1,0.7175,0.0364,0.0618,0.0,0.031,0.0158,0.0,0.0,0.1045,0.0,0.0321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1137.35
2,0.4918,0.0,0.1354,0.2631,0.0,0.0,0.0,0.0,0.0,0.0131,0.0,0.0,0.0,0.0,0.0,0.0966,0.0,0.0,0.0,0.0,1026.15
3,0.4351,0.1829,0.0197,0.0,0.0,0.0,0.0,0.2055,0.0141999999999999,0.1317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0109,0.0,0.0,843.15
4,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.0,0.0,0.0,779.15
5,0.7131286871312869,0.0,0.0076992300769923,0.0655934406559344,0.0996900309969003,0.0,0.0,0.0804919508049195,0.02999700029997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033996600339966,0.0,0.0,885.15
6,0.4395,0.2626,0.0498,0.0,0.0,0.0,0.0,0.0,0.0,0.0124,0.0,0.223,0.0,0.0,0.0,0.0127,0.0,0.0,0.0,0.0,862.15
7,0.6676000000000001,0.2078,0.0322,0.0489,0.0,0.0171,0.0,0.0106,0.0069999999999999,0.0,0.0,0.0088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1016.15
8,0.6980000000000002,0.02,0.111,0.0,0.116,0.041,0.0,0.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1276.15
9,0.6968372846443819,0.057594816466518,0.1244887960083592,0.0,0.0964913157815796,0.0043996040356367,0.0,0.0,0.0,0.0,0.0192982631563159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1290.15
10,0.1796,0.3527,0.0,0.0,0.0,0.0,0.0,0.0,0.079,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,887.15
11,0.2717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0226,0.0,0.7057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,839.15
12,0.1018999999999999,0.3165,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.2405999999999999,0.0,0.3289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,763.15
13,0.1,0.0,0.05,0.0,0.06,0.0,0.0,0.0,0.0,0.34,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41,0.0,857.15
14,0.0822,0.3634,0.0,0.0,0.0,0.0201,0.0,0.0,0.0,0.2047,0.0,0.3207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,758.15
15,0.4556,0.0932,0.2473999999999999,0.0894,0.0643,0.0235,0.0,0.0,0.0,0.0266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1045.15
16,0.5674,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0388,0.1041,0.0,0.1972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.15
17,0.7709,0.0886999999999999,0.0302999999999999,0.0,0.1101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1053.15
18,0.61,0.0,0.067,0.0493,0.2537999999999999,0.0,0.0079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012,0.0,0.0,0.0,0.0,1145.15
19,0.651,0.041,0.115,0.063,0.0,0.0,0.0,0.107,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1149.15
20,0.6164000000000001,0.0511,0.1393,0.0175,0.0,0.0,0.0,0.1375,0.0,0.0,0.0,0.0,0.0075,0.0,0.0,0.03,0.0,0.0,0.0,0.0,1177.15
21,0.5432,0.0417,0.0569,0.072,0.0517,0.071,0.0,0.0584999999999999,0.0,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,863.15
22,0.672,0.1,0.098,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1218.15
23,0.1013,0.5932999999999999,0.1368,0.0,0.0,0.0759,0.0670999999999999,0.0,0.0,0.0256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.15
24,0.5848,0.0513999999999999,0.1445,0.0,0.0,0.0,0.0,0.1427,0.0,0.0289999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0475999999999999,0.0,1114.15
25,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,0.0,926.15
26,0.4663466346634664,0.0675067506750675,0.0,0.0,0.0707070707070707,0.1628162816281628,0.0,0.0,0.0,0.1688168816881688,0.0,0.0,0.0,0.0,0.0,0.0438043804380438,0.0,0.013001300130013,0.0,0.0,1040.15
27,0.5,0.14,0.05,0.0,0.0,0.0,0.1119999999999999,0.067,0.011,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,878.15
28,0.0,0.0,0.015,0.0,0.0,0.1399,0.0,0.0,0.0,0.0941,0.0444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2644,0.4422,696.15
29,0.1982198219821982,0.3183318331833183,0.047004700470047,0.0,0.0,0.0901090109010901,0.0931093109310931,0.0,0.01000100010001,0.2332233223322332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,866.15
30,0.6559344065593441,0.0,0.1223877612238776,0.0488951104889511,0.0,0.0,0.0,0.158984101589841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0115988401159884,0.0,1188.15
31,0.6512000000000001,0.0,0.1043,0.0832,0.0,0.0,0.0,0.1553,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1133.15
32,0.49,0.0,0.0,0.03,0.06,0.26,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,1040.15
33,0.6118,0.0,0.0122,0.0,0.0,0.0714,0.0369,0.0676,0.0569,0.0686,0.0454,0.0,0.0,0.0,0.0,0.0073,0.0,0.0179,0.0,0.0,945.15
34,0.5044,0.1219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3639,0.0,0.0,0.0,0.0,0.0,0.0098,0.0,0.0,823.15
35,0.4705,0.2661,0.124,0.0,0.0338,0.0,0.0588,0.0087,0.0244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0137,0.0,0.0,953.15
36,0.5924999999999999,0.0,0.0712999999999999,0.0360999999999999,0.1683999999999999,0.0994999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0090999999999999,0.0,0.0176999999999999,0.0,0.0,1183.15
37,0.00999800039992,0.3246350729854029,0.03499300139972,0.00499900019996,0.0499900019996,0.1048790241951609,0.0,0.028994201159768,0.0,0.4235152969406119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,842.15
38,0.0,0.0,0.0448,0.1419,0.0,0.0746,0.0765,0.0,0.0728,0.1193999999999999,0.0,0.0871,0.0,0.0,0.0,0.0,0.0,0.0,0.3828,0.0,761.15
39,0.5922999999999999,0.1443,0.0544,0.0,0.0,0.0794,0.0,0.0,0.0,0.0225,0.0631,0.0,0.0,0.0,0.0,0.0267,0.0,0.0093,0.008,0.0,1226.15
40,0.6827,0.078,0.1198,0.0481,0.0714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1257.15
41,0.6,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,859.15
